character,short description,tags,LLM description
📮,POSTBOX,['postbox' 'mailing' 'communication' 'sending' 'letter' 'package'],"This emoji represents a postbox, symbolizing mailing, communication, and sending letters or packages."
🍲,POT OF FOOD,['pot' 'food' 'cooking' 'meal' 'dish' 'comfort' 'cuisine'],"This emoji represents a pot of food, often used to convey cooking, mealtime, or a warm and comforting dish."
🚰,POTABLE WATER,['water' 'drink' 'hydration' 'cleanliness' 'environment' 'conservation'],"This emoji represents potable water, symbolizing hydration, cleanliness, and safety, often used to convey the availability of drinking water or to express concern for environmental conservation."
🥔,POTATO,['potato' 'vegetable' 'food' 'nutrition' 'staple' 'starchy'],"This emoji represents a potato, a starchy and versatile vegetable used in various dishes around the world, known for its nutritional value and as a staple food in many cultures."
🪴,POTTED PLANT,"['potted plant' 'growth' 'nature' 'nurturing' 'houseplant' 'decoration'
 'garden']","This emoji represents a potted plant, often used to symbolize growth, nature, and nurturing, as well as representing a houseplant or a decorative element in a home or garden."
🍗,POULTRY LEG,['poultry' 'chicken' 'meat' 'food' 'dish' 'consumption'],"This emoji represents a piece of poultry, typically chicken, and is often used to convey the consumption of meat or to refer to dishes containing poultry."
💷,POUND BANKNOTE,['pound' 'banknote' 'currency' 'money' 'finance' 'United Kingdom'],"This emoji represents a British pound banknote, often used to symbolize currency, money, or financial transactions in the United Kingdom."
🫗,POURING LIQUID,['pouring' 'liquid' 'serving' 'drink' 'replenish' 'sharing' 'hospitality'],"This emoji represents pouring liquid, often used to convey actions like serving drinks or transferring fluids, and can symbolize hospitality, sharing, or the act of replenishing."
😾,POUTING CAT,['cat' 'animal' 'mood' 'grumpy' 'upset' 'disappointment' 'sadness'],"This emoji represents a pouting cat, expressing disappointment, sadness, or annoyance, often used to convey a grumpy or upset mood."
📿,PRAYER BEADS,"['prayer beads' 'rosary beads' 'meditation' 'prayer' 'religion'
 'spirituality' 'counting']","This emoji represents prayer beads, also known as rosary beads, used in various religious practices for meditation, prayer, and counting mantras or prayers."
🫃,PREGNANT MAN,"['pregnant man' 'family' 'gender inclusiveness' 'parenthood' 'non-binary'
 'representation']","This emoji represents a pregnant man, symbolizing gender inclusiveness, family, and the evolving understanding of parenthood beyond binary gender roles."
🫃🏿,PREGNANT MAN DARK SKIN TONE,"['pregnant man' 'dark skin tone' 'gender inclusiveness' 'family'
 'diverse families']","This emoji represents a pregnant man with dark skin tone, symbolizing gender inclusiveness, family, and representation of diverse families."
🫃🏻,PREGNANT MAN LIGHT SKIN TONE,"['pregnant man' 'family' 'gender inclusiveness' 'parenthood'
 'light skin tone']","This emoji represents a pregnant man with a light skin tone, symbolizing gender inclusiveness, family, and the evolving understanding of parenthood."
🫃🏾,PREGNANT MAN MEDIUM-DARK SKIN TONE,"['pregnant man' 'gender inclusiveness' 'family' 'parenthood'
 'medium-dark skin tone']","This emoji represents a pregnant man with a medium-dark skin tone, symbolizing gender inclusiveness, family, and the evolving understanding of parenthood."
🫃🏼,PREGNANT MAN MEDIUM-LIGHT SKIN TONE,"['pregnant man' 'gender inclusiveness' 'family' 'parenthood'
 'medium-light skin tone']","This emoji represents a pregnant man with a medium-light skin tone, symbolizing gender inclusiveness, family, and the evolving understanding of parenthood."
🫃🏽,PREGNANT MAN MEDIUM SKIN TONE,"['pregnant man' 'family' 'gender inclusiveness' 'parenthood'
 'medium skin tone']","This emoji represents a pregnant man with a medium skin tone, symbolizing gender inclusiveness, family, and the evolving understanding of parenthood."
🫄,PREGNANT PERSON,"['pregnant' 'person' 'support' 'empathy' 'acknowledgment' 'biology'
 'family']","This emoji represents a pregnant person, symbolizing the biological process of carrying a developing fetus inside the body, often used to express support, empathy, or acknowledgment of pregnancy."
🫄🏿,PREGNANT PERSON DARK SKIN TONE,"['pregnant person' 'dark skin tone' 'pregnancy' 'childbirth' 'family'
 'representation' 'health']","This emoji represents a pregnant person with dark skin tone, often used to express topics related to pregnancy, childbirth, and family."
🫄🏻,PREGNANT PERSON LIGHT SKIN TONE,"['pregnant person' 'motherhood' 'family' 'light skin tone' 'pregnancy'
 'representation']","This emoji represents a pregnant person with a light skin tone, often used to express pregnancy, motherhood, or family-related topics."
🫄🏾,PREGNANT PERSON MEDIUM-DARK SKIN TONE,"['pregnant person' 'medium-dark skin tone' 'pregnancy' 'family' 'support'
 'new life' 'empathy']","This emoji represents a pregnant person with a medium-dark skin tone, symbolizing the journey of pregnancy and the celebration of new life, often used to express support, empathy, or acknowledgment of someone's pregnancy."
🫄🏼,PREGNANT PERSON MEDIUM-LIGHT SKIN TONE,"['pregnant person' 'family' 'support' 'empathy' 'pregnancy' 'parenting'
 'medium-light skin tone']","This emoji represents a pregnant person with a medium-light skin tone, symbolizing the experience of pregnancy and the growth of a family. It can be used to express support, empathy, or to share information about pregnancy and parenting."
🫄🏽,PREGNANT PERSON MEDIUM SKIN TONE,['pregnant person' 'medium skin tone' 'pregnancy' 'childbirth' 'family'],"This emoji represents a pregnant person with a medium skin tone, often used to express topics related to pregnancy, childbirth, and family."
🤰,PREGNANT WOMAN,['pregnant' 'woman' 'motherhood' 'family' 'expectant' 'support' 'empathy'],"This emoji represents a pregnant woman, symbolizing the journey of motherhood and the anticipation of a new life, often used to express joy, support, or empathy towards expectant mothers."
🤰🏿,PREGNANT WOMAN DARK SKIN TONE,['pregnant woman' 'motherhood' 'family' 'childbirth' 'dark skin tone'],"This emoji represents a pregnant woman with a dark skin tone, symbolizing motherhood, family, and the journey of childbirth."
🤰🏻,PREGNANT WOMAN LIGHT SKIN TONE,['pregnant woman' 'motherhood' 'family' 'childbirth' 'light skin tone'],"This emoji represents a pregnant woman with a light skin tone, symbolizing motherhood, family, and the journey of childbirth."
🤰🏾,PREGNANT WOMAN MEDIUM-DARK SKIN TONE,"['pregnant woman' 'motherhood' 'family' 'childbirth'
 'medium-dark skin tone']","This emoji represents a pregnant woman with a medium-dark skin tone, symbolizing motherhood, family, and the journey of childbirth."
🤰🏼,PREGNANT WOMAN MEDIUM-LIGHT SKIN TONE,"['pregnant woman' 'motherhood' 'family' 'childbirth'
 'medium-light skin tone']","This emoji represents a pregnant woman with a medium-light skin tone, symbolizing motherhood, family, and the journey of childbirth."
🤰🏽,PREGNANT WOMAN MEDIUM SKIN TONE,['pregnant woman' 'motherhood' 'support' 'family' 'medium skin tone'],"This emoji represents a pregnant woman with a medium skin tone, often used to express the experience of pregnancy, motherhood, or to show support for expectant mothers."
🥨,PRETZEL,['pretzel' 'snack' 'food' 'baked' 'dough' 'treat'],"This emoji represents a pretzel, a popular baked snack made from dough, often shaped into various forms and enjoyed as a tasty treat."
🤴,PRINCE,['prince' 'royalty' 'nobility' 'status' 'crown' 'royal' 'king'],"This emoji represents a prince, a male member of a royal family, often used to symbolize royalty, nobility, and high status."
🤴🏿,PRINCE DARK SKIN TONE,['prince' 'royalty' 'dark skin tone' 'leadership' 'nobility' 'power'],"This emoji represents a prince with a dark skin tone, showcasing a royal figure often associated with power, nobility, and leadership in various cultures and fairy tales."
🤴🏻,PRINCE LIGHT SKIN TONE,"['prince' 'royalty' 'light skin tone' 'nobility' 'admiration' 'respect'
 'high status']","This emoji represents a prince with a light skin tone, symbolizing royalty, nobility, and authority, often used to express admiration, respect, or to represent a high social status."
🤴🏾,PRINCE MEDIUM-DARK SKIN TONE,"['prince' 'royalty' 'nobility' 'medium-dark skin tone' 'power' 'status'
 'authority']","This emoji represents a prince with a medium-dark skin tone, showing a male member of royalty or nobility, often used to convey the idea of power, status, or regal authority."
🤴🏼,PRINCE MEDIUM-LIGHT SKIN TONE,"['prince' 'royalty' 'medium-light skin tone' 'power' 'nobility'
 'authority']","This emoji represents a prince with a medium-light skin tone, showcasing a royal figure often used to convey themes of power, nobility, and regal authority."
🤴🏽,PRINCE MEDIUM SKIN TONE,['prince' 'royalty' 'power' 'nobility' 'medium skin tone' 'crown' 'attire'],"This emoji represents a medium skin tone prince, showcasing a regal figure with a crown and royal attire, often used to convey themes of royalty, power, and nobility."
👸,PRINCESS,['princess' 'royalty' 'grace' 'elegance' 'power' 'fairy tale' 'folklore'],"This emoji represents a princess, a female royal or noble character often associated with grace, elegance, and power, commonly found in fairy tales and folklore."
👸🏿,PRINCESS DARK SKIN TONE,['princess' 'royalty' 'dark skin tone' 'female' 'admiration' 'character'],"This emoji represents a princess with a dark skin tone, symbolizing royalty, grace, and elegance, often used to express admiration or to represent a powerful female character."
👸🏻,PRINCESS LIGHT SKIN TONE,"['princess' 'royalty' 'elegance' 'femininity' 'light skin tone'
 'celebration' 'compliment' 'storytelling']","This emoji represents a princess with a light skin tone, often used to convey royalty, elegance, and femininity in various contexts, such as celebrations, compliments, or storytelling."
👸🏾,PRINCESS MEDIUM-DARK SKIN TONE,"['princess' 'royalty' 'medium-dark skin tone' 'female' 'admiration'
 'elegance']","This emoji represents a princess with a medium-dark skin tone, symbolizing royalty, grace, and elegance, often used to express admiration or to represent a powerful female character."
👸🏼,PRINCESS MEDIUM-LIGHT SKIN TONE,"['princess' 'royalty' 'elegance' 'grace' 'medium-light skin tone'
 'leadership' 'feminine']","This emoji represents a princess with a medium-light skin tone, often used to convey royalty, elegance, and grace, symbolizing the feminine power and leadership."
👸🏽,PRINCESS MEDIUM SKIN TONE,"['princess' 'royalty' 'medium skin tone' 'elegance' 'grace' 'happiness'
 'love' 'success']","This emoji represents a princess with medium skin tone, often used to convey royalty, elegance, and grace, and can symbolize the pursuit of happiness, love, or success."
🖨️,PRINTER,['printer' 'printing' 'technology' 'office' 'document' 'copy'],"This emoji represents a printer, a device used to produce hard copies of digital documents and images by transferring ink or toner onto paper."
🖨,PRINTER,['printer' 'printing' 'technology' 'office' 'document' 'copy' 'device'],"This emoji represents a printer, a device used to produce hard copies of digital documents and images by transferring ink or toner onto paper."
🚫,PROHIBITED,"['prohibition' 'warning' 'restriction' 'forbidden' 'False' 'disallowed'
 'stop']","This emoji represents a red circle with a diagonal line across, symbolizing prohibition, warning, or a restriction, often used to indicate something is not allowed or forbidden."
🟣,PURPLE CIRCLE,['purple' 'circle' 'highlight' 'emphasis' 'attention' 'symbol'],"This emoji represents a solid purple circle, often used to highlight, emphasize, or draw attention to a specific element or message within a text or conversation."
💜,PURPLE HEART,"['purple heart' 'love' 'affection' 'romance' 'heart chakra' 'spirituality'
 'connection']","This emoji represents a purple heart, often used to express love, affection, and romantic feelings, as well as to symbolize the heart chakra and spiritual connection."
🟪,PURPLE SQUARE,['purple' 'square' 'color' 'design' 'aesthetics'],"This emoji represents a solid purple square, often used to convey concepts related to color, design, or aesthetics in various contexts."
👛,PURSE,['purse' 'bag' 'fashion' 'style' 'accessory' 'wallet' 'personal items'],"This emoji represents a purse, a small bag used to carry personal items such as money, cards, and small essentials, often associated with fashion and style."
📌,PUSHPIN,['pushpin' 'location' 'point of interest' 'map' 'marking' 'board'],"This emoji represents a pushpin, often used to symbolize marking a location, place, or point of interest on a map or board."
🧩,PUZZLE PIECE,"['puzzle' 'piece' 'problem-solving' 'creativity' 'completion' 'assembly'
 'solution']","This emoji represents a puzzle piece, symbolizing problem-solving, creativity, and the process of putting together different parts to form a whole."
🐇,RABBIT,['rabbit' 'animal' 'furry' 'ears' 'spring' 'Easter' 'new beginnings'],"This emoji represents a rabbit, a small, furry mammal known for its long ears, strong hind legs, and playful nature, often used to symbolize Easter, spring, and new beginnings."
🐰,RABBIT FACE,['rabbit' 'face' 'cute' 'playful' 'zodiac' 'Chinese astrology'],"This emoji represents a rabbit face, often used to express cuteness, playfulness, or to represent the zodiac sign of the Rabbit in Chinese astrology."
🦝,RACCOON,['raccoon' 'animal' 'mask' 'nocturnal' 'adaptability' 'nature'],"This emoji represents a raccoon, a nocturnal mammal known for its distinctive black mask, ringed tail, and adaptability to various environments."
🏎️,RACING CAR,['racing car' 'speed' 'competition' 'sports' 'vehicle' 'excitement'],"This emoji represents a racing car, often used to convey speed, excitement, and competitive sports like Formula 1 or NASCAR."
🏎,RACING CAR,['racing car' 'speed' 'competition' 'sports' 'vehicle' 'excitement' 'race'],"This emoji represents a racing car, often used to convey speed, excitement, and competitive sports like Formula 1 or NASCAR."
📻,RADIO,"['radio' 'communication' 'broadcasting' 'audio' 'entertainment'
 'information' 'connection']","This emoji represents a radio, a communication device used for broadcasting audio programs, often used to convey information, entertainment, and connect people across distances."
🔘,RADIO BUTTON,"['radio button' 'control element' 'form' 'interface' 'selection' 'option'
 'circle' 'UI']","This emoji represents a radio button, a circular control element used in forms and interfaces to allow the user to select one option from a set, typically appearing as a small circle filled with a solid color when selected."
☢️,RADIOACTIVE,"['radioactivity' 'danger' 'nuclear' 'radiation' 'warning' 'science'
 'energy']","This emoji represents radioactivity, often used to symbolize danger, nuclear power, or radioactive materials."
☢,RADIOACTIVE,"['radioactivity' 'danger' 'nuclear' 'radiation' 'warning' 'science'
 'energy']","This emoji represents radioactivity, often used to symbolize danger, nuclear power, or radioactive materials."
🚃,RAILWAY CAR,"['railway car' 'train' 'transportation' 'travel' 'commute' 'vehicle'
 'railroad']","This emoji represents a railway car, a vehicle that runs on a railroad track and is used for transporting passengers or cargo, often associated with travel, transportation, and commuting."
🛤️,RAILWAY TRACK,"['railway' 'track' 'transportation' 'travel' 'journey' 'commute'
 'connectivity']","This emoji represents railway tracks, symbolizing transportation, travel, and connectivity, often used to express journeys, commuting, or the transportation of goods."
🛤,RAILWAY TRACK,"['railway' 'track' 'transportation' 'travel' 'journey' 'commute'
 'connectivity']","This emoji represents railway tracks, symbolizing transportation, travel, and connectivity, often used to express journeys, commuting, or the transportation of goods."
🌈,RAINBOW,['rainbow' 'joy' 'pride' 'peace' 'unity' 'hope' 'community' 'LGBTQ+'],"This emoji represents a rainbow, symbolizing happiness, unity, and hope, often used to express joy or to represent the LGBTQ+ community."
🏳️‍🌈,RAINBOW FLAG,"['rainbow flag' 'unity' 'acceptance' 'pride' 'LGBTQ+' 'community'
 'support']","This emoji represents the rainbow flag, symbolizing unity, acceptance, and pride, often used to express support for the LGBTQ+ community and celebrate their contributions to society."
🏳‍🌈,RAINBOW FLAG,"['rainbow flag' 'unity' 'acceptance' 'pride' 'LGBTQ+' 'community'
 'support']","This emoji represents the rainbow flag, symbolizing unity, acceptance, and pride, often used to express support for the LGBTQ+ community and celebrate their contributions to society."
🤚,RAISED BACK OF HAND,['hand' 'gesture' 'stop' 'wait' 'attention' 'communication'],"This emoji represents a raised back of hand, often used to indicate stop, wait, or to signal for attention, commonly associated with gestures and non-verbal communication."
🤚🏿,RAISED BACK OF HAND DARK SKIN TONE,"['hand' 'raised' 'dark skin tone' 'stop' 'wait' 'signal' 'high five'
 'thumbs up']","This emoji represents a raised back of hand with dark skin tone, often used to indicate stop, wait, or to signal 'high five' or 'thumbs up' in various contexts."
🤚🏻,RAISED BACK OF HAND LIGHT SKIN TONE,"['hand' 'gesture' 'stop' 'wait' 'high five' 'non-verbal communication'
 'light skin tone']","This emoji represents a raised back of hand with light skin tone, often used to indicate stop, wait, or to signal 'high five', and is commonly associated with hand gestures and non-verbal communication."
🤚🏾,RAISED BACK OF HAND MEDIUM-DARK SKIN TONE,['hand' 'stop' 'wait' 'False' 'not allowed' 'medium-dark skin tone'],"This emoji represents a raised back of hand with medium-dark skin tone, often used to indicate stop, wait, or to signal 'no' or 'not allowed'."
🤚🏼,RAISED BACK OF HAND MEDIUM-LIGHT SKIN TONE,['hand' 'stop' 'wait' 'False' 'signal' 'medium-light skin tone'],"This emoji represents a raised back of hand with medium-light skin tone, often used to indicate stop, wait, or to signal 'no' in various contexts."
🤚🏽,RAISED BACK OF HAND MEDIUM SKIN TONE,"['hand' 'gesture' 'stop' 'wait' 'high five' 'non-verbal communication'
 'medium skin tone']","This emoji represents a raised back of hand with medium skin tone, often used to indicate stop, wait, or to signal 'high five', and is commonly associated with hand gestures and non-verbal communication."
✊,RAISED FIST,"['raised fist' 'strength' 'unity' 'solidarity' 'defiance' 'protest'
 'activism']","This emoji represents a raised fist, symbolizing strength, unity, and solidarity, often used to express support for a cause or to show defiance."
✊🏿,RAISED FIST DARK SKIN TONE,"['raised fist' 'solidarity' 'strength' 'unity' 'social justice'
 'political' 'dark skin tone']","This emoji represents a raised fist with a dark skin tone, symbolizing unity, strength, and solidarity, often used to express support for social justice and political causes."
✊🏻,RAISED FIST LIGHT SKIN TONE,"['raised fist' 'strength' 'unity' 'solidarity' 'defiance' 'support'
 'protest' 'activism' 'light skin tone']","This emoji represents a raised fist with a light skin tone, symbolizing strength, unity, and solidarity, often used to express support for a cause or to show defiance."
✊🏾,RAISED FIST MEDIUM-DARK SKIN TONE,"['raised fist' 'unity' 'strength' 'solidarity' 'medium-dark skin tone'
 'social justice' 'politics']","This emoji represents a raised fist with medium-dark skin tone, symbolizing unity, strength, and solidarity, often used to express support for social justice and political causes."
✊🏼,RAISED FIST MEDIUM-LIGHT SKIN TONE,"['raised fist' 'strength' 'unity' 'resistance' 'solidarity'
 'medium-light skin tone' 'human connection']","This emoji represents a raised fist, a symbol of strength, unity, and resistance, with a medium-light skin tone applied to the raised fist, emphasizing the human connection and solidarity."
✊🏽,RAISED FIST MEDIUM SKIN TONE,"['raised fist' 'strength' 'unity' 'resistance' 'solidarity'
 'social justice' 'medium skin tone']","This emoji represents a raised fist, a symbol of strength, unity, and resistance, often used to express solidarity and support for social justice causes, with a medium skin tone variation."
✋,RAISED HAND,"['raised hand' 'greeting' 'celebration' 'stop' 'wait' 'victory'
 'achievement']","This emoji represents a raised hand, often used to express greeting, celebration, or to signal'stop' or 'wait', and can also symbolize victory or achievement."
✋🏿,RAISED HAND DARK SKIN TONE,"['raised hand' 'agreement' 'greeting' 'stop' 'wait' 'dark skin tone'
 'complexion']","This emoji represents a raised hand with a dark skin tone, often used to express agreement, greeting, or to signal'stop' or 'wait'. The dark skin tone indicates a person with a darker complexion."
✋🏻,RAISED HAND LIGHT SKIN TONE,"['raised hand' 'stop' 'hello' 'peace' 'victory' 'celebration'
 'light skin tone']","This emoji represents a raised hand with a light skin tone, often used to express'stop,' 'hello,' or 'peace,' and can also symbolize victory or celebration."
✋🏾,RAISED HAND MEDIUM-DARK SKIN TONE,"['raised hand' 'agreement' 'greeting' 'medium-dark skin tone' 'signal'
 'stop' 'wait']","This emoji represents a raised hand with medium-dark skin tone, often used to express agreement, greeting, or to signal'stop' or 'wait'."
✋🏼,RAISED HAND MEDIUM-LIGHT SKIN TONE,"['raised hand' 'medium-light skin tone' 'greeting' 'acknowledgement'
 'stop signal' 'hand gesture']","This emoji represents a raised hand with medium-light skin tone, often used to express greeting, acknowledgement, or to signal'stop', and is categorized under the category of hand gestures."
✋🏽,RAISED HAND MEDIUM SKIN TONE,"['raised hand' 'agreement' 'greeting' 'stop' 'power' 'authority'
 'medium skin tone']","This emoji represents a raised hand with medium skin tone, often used to express agreement, greeting, or to signal'stop', and can also symbolize power or authority."
🙌,RAISING HANDS,['raising hands' 'celebration' 'agreement' 'attention' 'praise'],"This emoji shows two hands raised in the air, often used to represent celebration, praise, agreement, or to get attention."
🙌🏿,RAISING HANDS DARK SKIN TONE,"['raising hands' 'celebration' 'acknowledgment' 'dark skin tone'
 'inclusivity' 'representation' 'diverse backgrounds']","This emoji shows two raised hands, representing celebration, praise, or acknowledgment, with a dark skin tone variant, emphasizing inclusivity and representation of diverse backgrounds."
🙌🏻,RAISING HANDS LIGHT SKIN TONE,"['raising hands' 'celebration' 'praise' 'gratitude' 'happiness'
 'light skin tone']","This emoji shows two raised hands with a light skin tone, often used to represent celebration, praise, or to express gratitude and happiness."
🙌🏾,RAISING HANDS MEDIUM-DARK SKIN TONE,"['raising hands' 'celebration' 'agreement' 'attention'
 'medium-dark skin tone']","This emoji shows two medium-dark skin tone hands raised in the air, often used to express celebration, agreement, or to get attention."
🙌🏼,RAISING HANDS MEDIUM-LIGHT SKIN TONE,"['raising hands' 'celebration' 'agreement' 'attention'
 'medium-light skin tone']","This emoji shows two medium-light skin tone hands raised in the air, often used to express celebration, agreement, or to get attention."
🙌🏽,RAISING HANDS MEDIUM SKIN TONE,"['raising hands' 'celebration' 'agreement' 'acknowledgment'
 'medium skin tone']","This emoji shows two raised hands with medium skin tone, often used to represent celebration, praise, or to express agreement and acknowledgment."
🐏,RAM,['ram' 'sheep' 'strength' 'agility' 'animal' 'nature' 'male' 'livestock'],"This emoji represents a ram, a male sheep known for its strength, agility, and role in various cultures and religious traditions."
🐀,RAT,"['rat' 'animal' 'mammal' 'small' 'resourceful' 'pest' 'adaptability'
 'social']","This emoji represents a rat, a small mammal known for its adaptability and social behavior, often used symbolically in various cultures for different meanings, such as resourcefulness or as a pest."
🪒,RAZOR,"['razor' 'grooming' 'shaving' 'personal care' 'cleanliness' 'trimming'
 'tool']","This emoji represents a razor, a tool used for shaving or trimming hair, often associated with personal grooming and cleanliness."
🧾,RECEIPT,['receipt' 'transaction' 'purchase' 'document' 'retail' 'service'],"This emoji represents a receipt, a document that records a transaction, often used in retail and service industries to show the details of a purchase or service provided."
⏺️,RECORD BUTTON,"['record button' 'media' 'record' 'capture' 'streaming' 'communication'
 'video' 'audio']","This emoji represents a record button, often used to indicate recording or capturing media, such as video or audio, and is commonly associated with social media, streaming, and communication platforms."
⏺,RECORD BUTTON,['record' 'button' 'media' 'audio' 'video' 'communication' 'play'],"This emoji represents a record button, often used to symbolize recording audio or video, and is commonly found in media players or communication apps."
♻️,RECYCLING SYMBOL,"['recycling' 'sustainability' 'environment' 'eco-friendly' 'reprocessing'
 'waste management']","This emoji represents the recycling symbol, often used to indicate the practice of reprocessing used materials into new products, promoting environmental awareness and sustainability."
♻,RECYCLING SYMBOL,"['recycling' 'sustainability' 'environment' 'eco-friendly' 'reprocessing'
 'waste management']","This emoji represents the recycling symbol, often used to indicate the practice of reprocessing used materials into new products, promoting environmental awareness and sustainability."
🍎,RED APPLE,['red apple' 'health' 'nutrition' 'love' 'romance' 'fruit'],"This emoji represents a red apple, often associated with health, nutrition, and the symbol of love and romance in many cultures."
🔴,RED CIRCLE,['red circle' 'warning' 'stop' 'highlight' 'design' 'graphics'],"This emoji represents a red circle, often used to indicate warning, stop signs, or to highlight important elements in designs and graphics."
🧧,RED ENVELOPE,"['red envelope' 'Chinese New Year' 'luck' 'prosperity' 'festive' 'gift'
 'fortune']","This emoji represents a red envelope, traditionally associated with Chinese New Year, luck, and red pocket money gifts. It is often used to express good fortune, prosperity, and festive celebrations."
❗,RED EXCLAMATION MARK,['exclamation' 'emphasis' 'urgency' 'attention' 'alert' 'red'],"This emoji represents a red exclamation mark, often used to indicate emphasis, urgency, or to draw attention to something."
🦰,RED HAIR,['red hair' 'hair color' 'passion' 'energy' 'enthusiasm'],"This emoji represents red hair, often used to symbolize people with this natural hair color or to express a sense of passion, energy, and enthusiasm."
❤️,RED HEART,['heart' 'love' 'affection' 'emotions' 'connection' 'care'],"This emoji represents a red heart, symbolizing love, affection, and strong emotions, often used to express feelings of deep connection and care towards others."
❤,RED HEART,['heart' 'love' 'affection' 'emotions' 'connection' 'care'],"This emoji represents a red heart, symbolizing love, affection, and strong emotions, often used to express feelings of deep connection and care towards others."
🏮,RED PAPER LANTERN,"['red paper lantern' 'Chinese culture' 'tradition' 'decoration'
 'celebration' 'guidance' 'festival' 'night market']","This emoji represents a red paper lantern, a traditional Chinese lighting used for decoration, celebrations, and guidance, often associated with Chinese culture, festivals, and night markets."
❓,RED QUESTION MARK,['question' 'inquiry' 'uncertainty' 'curiosity' 'doubt' 'seeking'],"This emoji represents a red question mark, often used to express uncertainty, curiosity, or to indicate a question or inquiry."
🟥,RED SQUARE,['red square' 'warning' 'danger' 'highlight' 'color' 'geometry'],"This emoji represents a red square, often used to symbolize warning, danger, or to highlight important information in various contexts."
🔻,RED TRIANGLE POINTED DOWN,['triangle' 'red' 'downward' 'decrease' 'warning' 'negative'],"This emoji represents a red triangle pointed downwards, often used to indicate a decrease, warning, or negative change in context."
🔺,RED TRIANGLE POINTED UP,"['triangle' 'red' 'upward' 'increase' 'warning' 'progress' 'success'
 'positive change']","This emoji represents a red triangle pointed upwards, often used to indicate an increase, warning, or alert, and can symbolize progress, success, or a positive change."
®️,REGISTERED,['trademark' 'registration' 'brand' 'ownership' 'copyright' 'logo' 'legal'],"This emoji represents a registered trademark symbol, often used to indicate that a brand, logo, or product is legally protected and owned by a specific company or individual."
®,REGISTERED,['trademark' 'registration' 'brand' 'ownership' 'copyright' 'logo' 'legal'],"This emoji represents a registered trademark symbol, often used to indicate that a brand, logo, or product is legally protected and owned by a specific company or individual."
😌,RELIEVED FACE,"['relieved' 'relaxed' 'contentment' 'satisfaction' 'stress' 'problem'
 'resolution']","This emoji represents a relieved or relaxed face, often used to express feelings of relief, satisfaction, or contentment after a stressful situation or problem has been resolved."
🎗️,REMINDER RIBBON,['reminder' 'ribbon' 'awareness' 'event' 'occasion' 'symbol' 'notice'],"This emoji represents a reminder ribbon, often used to draw attention to important causes, events, or occasions, and to remind people of their significance."
🎗,REMINDER RIBBON,"['reminder' 'ribbon' 'awareness' 'event' 'occasion' 'commitment'
 'notification']","This emoji represents a reminder ribbon, often used to draw attention to a specific cause, event, or occasion, and to remind people of their commitments or important dates."
🔁,REPEAT BUTTON,['repeat' 'button' 'cycle' 'continuity' 'iteration' 'action' 'process'],"This emoji represents a repeat button, often used to indicate repeating an action, cycle, or process, and can symbolize continuity or iteration."
🔂,REPEAT SINGLE BUTTON,['repeat' 'single' 'button' 'media' 'play' 'action'],"This emoji represents a repeat single button, often found on media players or devices, indicating the action of playing a media item again from the beginning or repeating a single action."
⛑️,RESCUE WORKER’S HELMET,"['rescue worker' 'helmet' 'safety' 'protection' 'emergency'
 'first responder' 'aid']","This emoji represents a rescue worker's helmet, often worn by professionals such as firefighters, paramedics, and emergency services personnel, symbolizing protection, safety, and aid during critical situations."
⛑,RESCUE WORKER’S HELMET,"['rescue worker' 'helmet' 'safety' 'protection' 'emergency' 'aid'
 'first responder']","This emoji represents a rescue worker's helmet, often worn by professionals such as firefighters, paramedics, and emergency services personnel, symbolizing protection, safety, and aid during critical situations."
🚻,RESTROOM,['restroom' 'bathroom' 'location' 'request' 'hygiene' 'facilities'],"This emoji represents a restroom symbol, often used to indicate the location of a bathroom or to request someone to use the restroom."
◀️,REVERSE BUTTON,['reverse' 'back' 'undo' 'navigation' 'timeline' 'sequence'],"This emoji represents a reverse button, often used to indicate going back, undoing an action, or navigating backward in a sequence or timeline."
◀,REVERSE BUTTON,['reverse' 'back' 'undo' 'navigation' 'timeline' 'sequence'],"This emoji represents a reverse button, often used to indicate going back, undoing an action, or navigating backward in a sequence or timeline."
💞,REVOLVING HEARTS,"['love' 'affection' 'relationship' 'connection' 'heart' 'emotion'
 'romance']","This emoji represents two revolving hearts, symbolizing love, affection, and deep emotional connection between two people."
🦏,RHINOCEROS,['rhinoceros' 'animal' 'horn' 'mammal' 'nature' 'prehistoric'],"This emoji represents a rhinoceros, a large, prehistoric-looking mammal known for its thick skin, distinctive horn, and unique appearance."
🎀,RIBBON,"['ribbon' 'award' 'achievement' 'celebration' 'decoration' 'color'
 'design']","This emoji represents a ribbon, often used to symbolize awards, achievements, and celebrations, and can be found in various colors and designs."
🍙,RICE BALL,['rice ball' 'onigiri' 'Japanese food' 'snack' 'meal' 'rice' 'traditional'],"This emoji represents a rice ball, symbolizing a traditional Japanese dish called onigiri, typically made of seasoned rice and often filled with various ingredients like fish or pickles, commonly eaten as a snack or meal."
🍘,RICE CRACKER,['rice cracker' 'snack' 'Asian food' 'savory' 'bite' 'food'],"This emoji represents a rice cracker, a popular snack in Asian countries made from rice, often seasoned and enjoyed as a savory bite."
🤜,RIGHT-FACING FIST,"['fist' 'strength' 'unity' 'solidarity' 'politics' 'social justice'
 'movement']","This emoji represents a right-facing fist, often used to symbolize strength, unity, and solidarity, particularly in the context of social justice and political movements."
